coup,mass,xsec(pb)
1.830000e-01, 4.874490e+02, 0.0011866592
2.662000e+00, 7.853080e+02, 0.00088148931
3.126000e+00, 5.025200e+01, 25.209342
9.760000e-01, 8.553090e+02, 6.44999665e-05
1.524000e+00, 1.022846e+03, 4.5379209899999997e-05
2.698000e+00, 7.247640e+02, 0.0015394801399999998
1.410000e-01, 2.016480e+02, 0.039569916
2.553000e+00, 9.500470e+02, 0.000213511668
1.645000e+00, 7.619290e+02, 0.00041082675299999996
9.340000e-01, 1.426750e+02, 2.0009105
5.140000e-01, 9.218040e+02, 1.07375175e-05
1.613000e+00, 3.872810e+02, 1.6936758
1.080000e+00, 4.047090e+02, 0.6076883200000001
2.913000e+00, 2.642850e+02, 13.4265771
1.361000e+00, 5.622100e+01, 4.7574693
1.285000e+00, 7.752560e+02, 0.000218710491
2.131000e+00, 6.831300e+02, 0.00147491752
1.452000e+00, 1.065349e+03, 3.06700804e-05
1.958000e+00, 1.082449e+03, 4.96753984e-05
2.484000e+00, 1.066593e+03, 8.90127556e-05
2.306000e+00, 4.951850e+02, 0.083339585
5.100000e-01, 4.821320e+02, 0.0142120931
1.603000e+00, 2.763940e+02, 3.8462069999999997
1.400000e+00, 1.002301e+03, 4.4151521899999994e-05
4.690000e-01, 1.050630e+02, 0.53666694
5.750000e-01, 3.159330e+02, 0.397206
6.660000e-01, 8.420490e+02, 3.3480878199999996e-05
2.474000e+00, 1.754770e+02, 13.075531000000002
2.018000e+00, 2.773560e+02, 6.065135000000001
2.789000e+00, 6.860600e+01, 19.787134000000002
2.426000e+00, 3.469800e+01, 15.311727999999999
5.130000e-01, 2.655830e+02, 0.41393476
3.140000e+00, 1.182278e+03, 6.649673649999999e-05
7.270000e-01, 7.463300e+01, 1.33642213
2.028000e+00, 6.681920e+02, 0.00157303029
7.060000e-01, 8.153300e+01, 1.25098965
2.794000e+00, 6.642170e+02, 0.00307243627
4.320000e-01, 2.044030e+02, 0.36861457
1.759000e+00, 1.066783e+03, 4.4585983300000005e-05
1.604000e+00, 9.112630e+02, 0.00011246296300000001
6.640000e-01, 1.046610e+03, 7.3143753499999995e-06
3.045000e+00, 5.863390e+02, 0.0095182388
2.589000e+00, 8.350920e+02, 0.000549869925
2.289000e+00, 7.818780e+02, 0.00067552986
2.843000e+00, 1.381770e+02, 18.696555
3.073000e+00, 8.674000e+01, 23.571134
2.693000e+00, 5.509970e+02, 0.0131795878
